<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BSESN,D,20000103,000000,5209.5400,5384.6600,5209.5400,5375.1100,0,0
^BSESN,D,20000104,000000,5533.9800,5533.9800,5376.4300,5491.0100,0,0
^BSESN,D,20000105,000000,5265.0900,5464.3500,5184.4800,5357.0000,0,0
^BSESN,D,20000106,000000,5424.2100,5489.8600,5391.3300,5421.5300,0,0
^BSESN,D,20000107,000000,5358.2800,5463.2500,5330.5800,5414.4800,0,0
^BSESN,D,20000110,000000,5617.5900,5668.2800,5459.9700,5518.3900,0,0
^BSESN,D,20000111,000000,5513.0400,5537.6900,5221.2800,5296.3000,0,0
^BSESN,D,20000112,000000,5267.8500,5494.3000,5267.8500,5491.2000,0,0
^BSESN,D,20000113,000000,5568.6400,5652.2200,5430.8100,5444.8200,0,0
^BSESN,D,20000114,000000,5460.3100,5476.3800,5344.5900,5471.2700,0,0
^BSESN,D,20000117,000000,5617.7000,5664.5000,5404.0700,5404.0700,0,0
^BSESN,D,20000118,000000,5414.2600,5465.5400,5347.9200,5464.5100,0,0
^BSESN,D,20000119,000000,5496.6800,5528.1200,5460.6800,5478.2400,0,0
^BSESN,D,20000120,000000,5508.0400,5516.1600,5348.5600,5355.8000,0,0
^BSESN,D,20000121,000000,5352.6300,5441.8300,5330.0800,5423.0500,0,0
^BSESN,D,20000124,000000,5529.3800,5583.2200,5439.4800,5458.0600,0,0
^BSESN,D,20000125,000000,5412.4900,5430.2900,5351.2200,5367.7900,0,0
^BSESN,D,20000126,000000,5412.4900,5430.2900,5351.2200,5367.7900,0,0
^BSESN,D,20000127,000000,5424.1400,5457.3000,5362.2500,5369.1000,0,0
^BSESN,D,20000128,000000,5417.5300,5417.5300,5331.5400,5335.8000,0,0
^BSESN,D,20000131,000000,5338.6700,5345.3000,5186.3200,5205.2900,0,0
^BSESN,D,20000201,000000,5217.6500,5232.8400,5127.7900,5215.5400,0,0
^BSESN,D,20000202,000000,5264.6200,5342.9800,5264.6200,5304.9200,0,0
^BSESN,D,20000203,000000,5366.6200,5381.7400,5323.3200,5340.1900,0,0
^BSESN,D,20000204,000000,5394.0000,5402.7000,5313.5900,5313.5900,0,0
^BSESN,D,20000207,000000,5431.5500,5518.2900,5431.5500,5474.0000,0,0
^BSESN,D,20000208,000000,5585.3800,5647.6400,5585.3800,5610.5600,0,0
^BSESN,D,20000209,000000,5704.0100,5756.8700,5635.6900,5649.1000,0,0
^BSESN,D,20000210,000000,5765.2800,5789.0400,5715.0500,5789.0400,0,0
^BSESN,D,20000211,000000,5985.0500,6005.8500,5917.0400,5933.5600,0,0
^BSESN,D,20000214,000000,6130.2300,6150.6900,5923.1700,5924.3100,0,0
^BSESN,D,20000215,000000,5797.3100,5941.8800,5774.3200,5803.1900,0,0
^BSESN,D,20000216,000000,5782.2000,5864.9700,5711.7500,5725.5000,0,0
^BSESN,D,20000217,000000,5810.2400,5877.0400,5799.7900,5835.1500,0,0
^BSESN,D,20000218,000000,5894.1900,5894.1900,5681.9800,5721.6500,0,0
^BSESN,D,20000221,000000,5874.2500,5941.9000,5834.5100,5874.8900,0,0
^BSESN,D,20000222,000000,6000.3000,6009.0200,5864.7900,5883.3300,0,0
^BSESN,D,20000223,000000,6002.4900,6033.9800,5612.5500,5642.4600,0,0
^BSESN,D,20000224,000000,5764.1600,5816.1600,5620.8300,5810.1700,0,0
^BSESN,D,20000225,000000,5840.2500,5840.2500,5623.0800,5623.0800,0,0
^BSESN,D,20000228,000000,5737.5300,5740.6900,5580.0500,5740.6900,0,0
^BSESN,D,20000229,000000,5827.8100,5903.4900,5383.6100,5447.4700,0,0
^BSESN,D,20000301,000000,5464.6500,5681.1100,5341.6100,5642.1200,0,0
^BSESN,D,20000302,000000,5803.3300,5828.7900,5528.3100,5528.3100,0,0
^BSESN,D,20000303,000000,5602.9400,5602.9400,5362.8000,5378.2700,0,0
^BSESN,D,20000306,000000,5662.2900,5692.9700,5459.6100,5520.6900,0,0
^BSESN,D,20000307,000000,5674.9900,5674.9900,5525.8900,5589.8500,0,0
^BSESN,D,20000308,000000,5711.8800,5783.5100,5439.1400,5511.4200,0,0
^BSESN,D,20000309,000000,5579.8700,5607.9400,5278.6800,5328.7900,0,0
^BSESN,D,20000310,000000,5384.4200,5478.9700,5196.7200,5301.7800,0,0
^BSESN,D,20000313,000000,5372.8200,5430.8700,5100.6200,5129.2200,0,0
^BSESN,D,20000314,000000,5020.5500,5177.5500,4943.3000,5175.7100,0,0
^BSESN,D,20000315,000000,5067.4200,5339.9400,5045.9900,5249.7600,0,0
^BSESN,D,20000316,000000,5249.9800,5301.4400,5077.3300,5102.4100,0,0
^BSESN,D,20000321,000000,5177.5900,5230.3600,5085.5300,5133.2400,0,0
^BSESN,D,20000322,000000,5204.0700,5247.2800,5159.3600,5201.8700,0,0
^BSESN,D,20000323,000000,5314.3200,5314.3200,5088.1000,5115.0200,0,0
^BSESN,D,20000324,000000,5083.1700,5203.9300,5052.7400,5141.4200,0,0
^BSESN,D,20000327,000000,5203.1600,5286.8100,5126.3500,5146.3000,0,0
^BSESN,D,20000328,000000,5094.1700,5156.2300,5044.1700,5156.1200,0,0
^BSESN,D,20000329,000000,5233.7600,5233.7600,5080.4500,5102.4600,0,0
^BSESN,D,20000330,000000,4984.1000,5058.4400,4891.4000,5041.0800,0,0
^BSESN,D,20000331,000000,4892.4300,5022.2400,4867.2300,5001.2800,0,0
^BSESN,D,20000403,000000,5070.5000,5085.0000,4977.2100,5052.9400,0,0
^BSESN,D,20000404,000000,4907.4100,4907.4100,4666.9500,4691.4600,0,0
^BSESN,D,20000405,000000,4616.3600,4852.4500,4601.5800,4757.0600,0,0
^BSESN,D,20000406,000000,4899.4500,4899.4500,4608.1100,4866.7300,0,0
^BSESN,D,20000407,000000,4987.1000,5222.8000,4987.1000,5219.2000,0,0
^BSESN,D,20000410,000000,5481.4900,5532.5400,5435.3500,5442.8600,0,0
^BSESN,D,20000411,000000,5428.7000,5541.8200,5368.2000,5541.5400,0,0
^BSESN,D,20000412,000000,5502.4200,5542.8100,5416.1900,5426.8200,0,0
^BSESN,D,20000413,000000,5130.1800,5205.6900,5106.2300,5172.1300,0,0
^BSESN,D,20000417,000000,4797.9500,4899.5400,4797.9500,4880.7100,0,0
