Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2001-01-02,2.730469,0.2924,0.0,0.805,0.195,2.878906,2.914063,2.710938,4483200.0
2001-01-03,3.234375,0.0,0.0,1.0,0.0,2.705078,3.40625,2.691406,5856000.0
2001-01-04,3.09375,-0.2263,0.322,0.678,0.0,3.193359,3.238281,3.03125,3811200.0
2001-01-05,2.960938,0.0,0.0,1.0,0.0,3.148438,3.171875,2.9375,7414400.0
2001-01-08,2.901855,0.3818,0.0,0.658,0.342,2.953125,2.957031,2.767578,4326400.0
2001-01-09,3.03125,0.0,0.0,1.0,0.0,3.0,3.089844,2.845703,2934400.0
2001-01-10,2.960938,0.0,0.0,1.0,0.0,2.9375,3.050781,2.871094,4118400.0
2001-01-11,3.064453,0.0,0.0,1.0,0.0,2.992188,3.21875,2.890625,3251200.0
2001-01-12,3.15625,0.4215,0.293,0.345,0.362,3.15625,3.167969,3.03125,2668800.0
2001-01-16,3.529297,0.0,0.0,1.0,0.0,3.185547,3.59375,3.155273,5491200.0
2001-01-17,3.533203,-0.34,0.444,0.556,0.0,3.59375,3.65625,3.4375,3840000.0
2001-01-18,3.666016,0.0,0.0,1.0,0.0,3.5625,3.8125,3.5625,5593600.0
2001-01-19,3.900391,0.4576,0.0,0.667,0.333,3.8125,4.105469,3.6875,6627200.0
2001-01-22,3.757813,0.0,0.0,1.0,0.0,3.84375,3.878906,3.71875,2710400.0
2001-01-23,3.753906,0.0,0.0,1.0,0.0,3.859375,3.859375,3.728516,2227200.0
2001-01-24,3.742188,-0.6249,0.406,0.594,0.0,3.662598,3.808594,3.662598,1491200.0
2001-01-25,3.671875,0.0,0.0,1.0,0.0,3.656738,3.742188,3.640625,2009600.0
2001-01-26,3.681641,0.128,0.0,0.727,0.273,3.590332,3.71875,3.539063,3702400.0
2001-01-29,3.8125,0.0,0.0,1.0,0.0,3.710938,3.841797,3.59375,2576000.0
2001-01-30,3.84375,0.0,0.0,1.0,0.0,3.820313,3.882813,3.78125,3136000.0
2001-01-31,3.777344,0.0,0.0,1.0,0.0,3.84375,3.84375,3.751953,2892800.0
2001-02-01,3.785156,0.0,0.0,1.0,0.0,3.818359,3.84375,3.644531,2643200.0
2001-02-02,3.601563,0.0,0.0,1.0,0.0,3.796875,3.828125,3.59375,1446400.0
2001-02-05,3.566406,0.0,0.0,1.0,0.0,3.570313,3.616699,3.414063,2857600.0
2001-02-06,3.59375,0.0,0.0,1.0,0.0,3.621094,3.785156,3.546875,1577600.0
2001-02-07,3.382813,0.0,0.0,1.0,0.0,3.591797,3.591797,3.367188,4563200.0
2001-02-08,3.423828,0.5994,0.0,0.562,0.438,3.445313,3.53125,3.390625,1308800.0
2001-02-09,3.472656,0.0,0.0,1.0,0.0,3.421875,3.515625,3.390625,1302400.0
2001-02-12,3.65625,0.0,0.0,1.0,0.0,3.445313,3.65625,3.4375,1251200.0
2001-02-13,3.533203,0.3818,0.0,0.435,0.565,3.582031,3.65625,3.5,860800.0
2001-02-14,3.398438,0.0,0.0,1.0,0.0,3.476563,3.53125,3.257813,2950400.0
2001-02-15,3.382813,-0.1779,0.221,0.779,0.0,3.4375,3.59375,3.359375,5264000.0
2001-02-16,3.391602,0.6369,0.0,0.543,0.457,3.28125,3.5,3.240234,7369600.0
2001-02-20,3.277344,0.0,0.0,1.0,0.0,3.355469,3.40625,3.25,3968000.0
2001-02-21,2.84375,-0.0516,0.194,0.806,0.0,3.15625,3.1875,2.710938,15465600.0
2001-02-22,2.832031,-0.8225,0.683,0.317,0.0,2.84375,2.992188,2.816406,4355200.0
2001-02-23,3.125,0.1779,0.0,0.702,0.298,2.810547,3.203125,2.777344,5606400.0
2001-02-26,3.070313,-0.4215,0.259,0.741,0.0,3.130859,3.25,3.070313,4256000.0
2001-02-27,2.980469,-0.7003,0.592,0.408,0.0,3.074219,3.101563,2.90625,4387200.0
2001-02-28,2.875,0.0,0.0,1.0,0.0,3.154297,3.154297,2.833984,13724800.0
2001-03-01,2.824219,0.0,0.0,1.0,0.0,2.8125,2.904297,2.695313,7500800.0
2001-03-02,2.28125,-0.6908,0.61,0.39,0.0,2.625,2.626953,2.228516,15078400.0
2001-03-05,2.375,0.0,0.0,1.0,0.0,2.435547,2.46875,2.294922,6144000.0
2001-03-06,2.46875,0.0,0.0,1.0,0.0,2.558594,2.646484,2.4375,6732800.0
2001-03-07,2.470703,0.0,0.0,1.0,0.0,2.53125,2.587891,2.429688,5523200.0
2001-03-08,2.28125,-0.3182,0.315,0.685,0.0,2.5,2.5,2.263672,4412800.0
2001-03-09,2.085938,0.0,0.0,1.0,0.0,2.228516,2.228516,2.03125,5804800.0
2001-03-12,2.070313,-0.4588,0.412,0.351,0.237,1.958984,2.09375,1.9375,6435200.0
2001-03-13,2.041016,0.0,0.0,1.0,0.0,2.03125,2.0625,1.996094,4310400.0
2001-03-14,2.0625,0.4939,0.0,0.484,0.516,1.96875,2.28125,1.910156,4684800.0
